,ppi,expr,mean_edge,mean_global,greater,pval
mean of x,Bossi,Body Map,0.259886787888398,0.266953980419442,FALSE,0.72605564485992
mean of x1,Bossi,Gene Atlas,0.264411221550878,0.268768984570892,FALSE,0.789389939918772
mean of x2,Bossi,RNAseq Atlas,0.24957457435218,0.269039595624559,FALSE,0.200732173255965
mean of x3,Bossi,HPA,0.248064312446627,0.270390694390233,FALSE,0.42851284134202
mean of x4,Bossi,HPA All,0.241658573377702,0.255815612686531,FALSE,0.476578591073371
mean of x5,STRING,Body Map,0.305765064322964,0.312498405809694,FALSE,0.694113317581276
mean of x6,STRING,Gene Atlas,0.297255758284334,0.292617509947238,TRUE,0.778896897880408
mean of x7,STRING,RNAseq Atlas,0.281449437174647,0.282502269569477,FALSE,0.948299805452851
mean of x8,STRING,HPA,0.326158766741519,0.331837450284542,FALSE,0.8395247437801
mean of x9,STRING,HPA All,0.284809039812838,0.284681405997942,TRUE,0.994441351303567
mean of x10,IMEx,Body Map,0.182327881057344,0.180322381072929,TRUE,0.913238786970288
mean of x11,IMEx,Gene Atlas,0.183378698791555,0.189383725812873,FALSE,0.690998368149286
mean of x12,IMEx,RNAseq Atlas,0.179187965181961,0.186585548762292,FALSE,0.640820975241596
mean of x13,IMEx,HPA,0.189303725723412,0.188968251841269,TRUE,0.989744647932498
mean of x14,IMEx,HPA All,0.148786310168953,0.157127546926947,FALSE,0.634700420674442
mean of x15,Havugimana,Body Map,0.243448903690265,0.222445895419041,TRUE,0.618502834405426
mean of x16,Havugimana,Gene Atlas,0.266751987859751,0.262638724841425,TRUE,0.906394179627094
mean of x17,Havugimana,RNAseq Atlas,0.256226282562288,0.265188479996711,FALSE,0.798573050849972
mean of x18,Havugimana,HPA,0.35650666421274,0.317873631940377,TRUE,0.629146853313002
mean of x19,Havugimana,HPA All,0.262854231313305,0.282477690121773,FALSE,0.652391384370894
mean of x20,HI-2012,Body Map,0.0943165514458018,0.102804490717259,FALSE,0.794937492766682
mean of x21,HI-2012,Gene Atlas,0.066932015579464,0.0716357922517101,FALSE,0.819432225241818
mean of x22,HI-2012,RNAseq Atlas,0.0675531071182213,0.0661317164621626,TRUE,0.940115549082296
mean of x23,HI-2012,HPA,0.0572170344093818,0.128308628385925,FALSE,0.508111341250778
mean of x24,HI-2012,HPA All,0.0673648952389213,0.053143155711485,TRUE,0.458328678039557
